"Delivery cost","Цена на доставката"
"cash on delivery","наложен платеж"
"Calculate price","Калкулирай цена"
"Delivery with Econt","Доставка с Еконт"
"You need to calculate the delivery price! Please use the 'Calculate Price' button.","Трябва да калкулирате цена на доставка! Моля използвайте бутона 'Калкулирай цена'"
"Track Order","Проследи поръчката"
"No waybill available","Няма налична товарителница"
"Print","Принтирай"
"Generate Waybill","Създай товарителница"
"Generate with Econt","Създай с Еконт"
"Check Tracking Status","Провери статус на поръчката"
"Check status","Провери статус"
