"Delivery cost","Delivery cost"
"cash on delivery","cash on delivery"
"Calculate price","Calculate price"
"Delivery with Econt","Delivery with Econt"
"You need to calculate the delivery price! Please use the 'Calculate Price' button.","You need to calculate the delivery price! Please use the 'Calculate Price' button."
"Track Order","Track Order"
"No waybill available","No waybill available"
"Print","Print"
"Generate Waybill","Generate Waybill"
"Generate with Econt","Generate with Econt"
"Check Tracking Status","Check Tracking Status"
"Check status","Check status"
